Country Code,Year,GDP,YoY Growth %
ERI,1992,477101651.648376,
ERI,1993,467872714.755603,-1.9343753811975284
ERI,1994,531688311.688312,13.639520946641138
ERI,1995,578015625.0,8.713246519296458
ERI,1996,693535954.190067,19.985675852632355
ERI,1997,686490090.140141,-1.0159334937659303
ERI,1998,745523074.701951,8.599247885684559
ERI,1999,688918508.950846,-7.592597422116643
ERI,2000,706370815.584416,2.533290426490087
ERI,2001,752371683.221534,6.512283155280008
ERI,2002,729321671.428501,-3.0636469057868543
ERI,2003,870248293.699204,19.32297198774775
ERI,2004,1109054005.43971,27.441100829443023
ERI,2005,1098424709.46293,-0.9584110354090236
ERI,2006,1211161879.6748,10.263531878028509
ERI,2007,1317974491.05691,8.819020246144937
ERI,2008,1380188800.0,4.720448640337427
ERI,2009,1856695551.21951,34.52475133978119
ERI,2010,1589515447.15447,-14.390086941801073
ERI,2011,2065001626.01626,29.9139073931618
ERI,2012,,
ERI,2013,,
ERI,2014,,
ERI,2015,,
ERI,2016,,
ERI,2017,,
ERI,2018,,
ERI,2019,,
ERI,2020,,
ERI,2021,,
ERI,2022,,
ESP,1960,12072126075.397,
ESP,1961,13834300571.4849,14.597051795865635
ESP,1962,16138545209.246,16.65602554935508
ESP,1963,19074913947.7196,18.194754858023465
ESP,1964,21343844643.7341,11.894841057910766
ESP,1965,24756958694.9238,15.991093020777235
ESP,1966,28721062242.1634,16.012078042737944
ESP,1967,31647119228.1982,10.187843894364246
ESP,1968,31475548481.4095,-0.5421370126979075
ESP,1969,36038711599.541,14.497485630239781
ESP,1970,40992995008.3195,13.747115778804918
ESP,1971,46619420359.2814,13.725333681571739
ESP,1972,59132415221.3306,26.84073453855802
ESP,1973,78639525985.1513,32.98886184642767
ESP,1974,97274006345.5437,23.696074114066956
ESP,1975,114777046376.812,17.993542868063585
ESP,1976,118507184779.905,3.24989927937942
ESP,1977,132449277108.434,11.76476544812255
ESP,1978,160599687500.0,21.25372897922253
ESP,1979,214601955875.062,33.62538820323795
ESP,1980,232766822928.754,8.464446178797779
ESP,1981,202807891511.984,-12.870791051669727
ESP,1982,195996754505.528,-3.358418134362151
ESP,1983,170951185614.849,-12.778563070529113
ESP,1984,172102910370.524,0.673715570636535
ESP,1985,180793463796.477,5.04962606805599
ESP,1986,251321075204.942,39.01004490287294
ESP,1987,318747935588.196,26.828971795648314
ESP,1988,376160409941.437,18.011873315287797
ESP,1989,414757056921.996,10.260688249081795
ESP,1990,536558591250.408,29.366958872822615
ESP,1991,577166174539.632,7.568154522433623
ESP,1992,630916018202.503,9.31271547674184
ESP,1993,525075636030.854,-16.775668887467965
ESP,1994,530562634455.347,1.0449920064793394
ESP,1995,614609020549.773,15.840992304462675
ESP,1996,642588992512.807,4.552483127892537
ESP,1997,590077272727.273,-8.171898429226122
ESP,1998,619214834614.099,4.937923087963614
ESP,1999,634907542858.302,2.534291390803456
ESP,2000,598363313494.903,-5.755834810038629
ESP,2001,627830029412.205,4.924552567434937
ESP,2002,708756677088.629,12.889897565458952
ESP,2003,907491523174.116,28.03992576152272
ESP,2004,1069055675273.75,17.803378651354684
ESP,2005,1153715822717.51,7.919152332462143
